reviewId,userName,content,score,adjusted_score,cluster,category,at,appVersion
cae4321d-5215-4bad-98d1-f02525db0f33,Ilham Puji Wahidan,"itu duit pajak dibikin aplikasi error, dibikin web error juga. rakyat mau lapor wajib pajak malah susah, orang pajak bisa kerja ga si",1,1,2,Kesulitan Bayar/Lapor Pajak,2026-07-09 14:57:31,
8f2bce11-9bc8-4a22-8190-6e2d3ad30f3c,Ali Baba,Aplikasi ter-ter-ter..... Taikk,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-09 03:59:29,
f168a20a-2e3e-42da-9aa3-030c83291e98,Khotibul Imam,"jangan nyusahin orang mau bikin NPWP aja ribet banget, peta nya ga muncul malah stuck di kembaliin malah ngulang lagi dari awal, ga bisa di simpan apa proses nya, verifikasi butuh pulsa udah habis pulsa banyak masih tetap ga bisa, #Indonesia ribet banget",1,1,9,Lapor SPT Tahunan Sulit,2026-07-08 22:17:36,
6167d9f1-10ed-4f5c-8023-a5537ab3415e,Dappa Tok,"error teruss , tidak mempermudah layanan masyarakat, enggak jelass",1,1,6,Error/Crash Aplikasi,2026-07-08 21:22:13,3.0.10
6d207b15-70c6-4192-88e7-d5e761661305,Fachry Agung W,"belum bisa buat login, tolong perbaiki",2,2,4,Login,2026-07-08 20:30:48,3.0.10
f58cebfd-87cf-4750-ac55-769e70462020,Dinda Silvani Putri,APLIKASI KONTOOOOOLLLLL,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-08 16:39:54,3.0.10
8d067ccc-fd0c-4431-8518-9d85d47b41d9,Iam Kehrn,Aplikasi buruk gak bagus,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-08 16:19:20,3.0.10
14686b19-a939-42cd-9c8b-4bdccb8b612b,Adrian,"gak paham sama aplikasi ini. suruh ngetik sandi, sandi apaan coba. mana ingat sandi yg dikirim petugas pajak tahun lalu. di email saja gak muncul. sudah klik ""Lupa Sandi"" masih gagal login. alih-alih mempermudah malah mempersulit",1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-08 15:25:58,3.0.10
af9fb9d2-fa36-4fa3-a16d-68208054e358,Nirwana,mau daftar aja sesulit ini 😔 tolong dong di upgrade lagi,1,1,7,Pendaftaran/Registrasi NPWP,2026-07-08 10:54:59,3.0.10
acb02b96-2f1a-4872-8d13-a2d60fa7a551,Ridjal Bakri,sangat buruk,1,1,3,Kualitas Aplikasi Buruk (General),2026-07-08 07:26:07,3.0.10
6c10e827-2f5c-45b5-84bb-2a3eec8dfcdb,Lanz Coutez,g bs login,1,1,4,Login,2026-07-08 05:55:16,3.0.10
c6de403f-19c1-411c-a9c2-80330e95decb,Zainur Roziqin,mempersulit,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-07 23:13:56,3.0.10
073dd552-c727-40de-bc0e-9768f4d51215,Kriss Kiss,"di kasih bintang satu pun masih terlalu bagus! gila apa?! mau daftar malah dinyatakan sudah terdaftar, waktu tak cek aslinya blm terdaftar! saya udah dua hari coba berkali kali, g ada yg berubah. apa sih! apk pemerintah tuh g ada yg bener! kocak! kagak niat bikin emang, harusnya dengan adanya apk ini tuh bisa mempermudah, ini malah bikin mumet!",1,1,7,Pendaftaran/Registrasi NPWP,2026-07-07 19:25:50,3.0.10
27871525-3228-47bf-bafe-508e62030fc6,Aksha Muhidin,"mau daftar susahnya minta ampun,kode otp ga kekirim kirim,awalnya kirain karna hp/sinyal eh tau""nya emng operator nya hadeuhh",1,1,5,Verifikasi/OTP,2026-07-07 18:59:03,3.0.10
ad0a4ed3-5608-4cdc-90aa-01f549c841d3,Yamamono chanel,konyol,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-07 15:11:17,3.0.10
613f0e34-c1ee-440b-8930-3ca4f923c342,Lana Imsya,"kenapa setiap semua hal yang di urus oleh pemerintah banyak yang tak becus. Nomor dan email sudah di verifikasi dan sesuai, tapi saat di klik malah di anggap keliru. Kenapa pemerintah ini isinya orang bodoh dan tak kompeten seperti ini, benar-benar mempersulit rakyat.",1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-07 12:32:44,
fb048e48-cb55-4975-b8c5-415f732672c2,Habil Rahman,kerja yg bener!,1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-07 02:14:14,3.0.10
94b41375-9751-4ecb-be60-c6bcc337bf77,Riyanto MR,"Penggunaan aplikasi ini untuk kalangan mereka yg memiliki hp yg tergolong baru, kenapa tidak bisa digunakan utk hp android yg lama.",2,2,0,Keluhan Umum/Tidak Spesifik,2026-07-06 23:48:00,
dee5a729-c515-44ec-93d3-ae9e7bf3e611,Ibra Abd,"ga niat bener bikin aplks, mau login muter muter terus cape,buang waktu.",1,1,0,Keluhan Umum/Tidak Spesifik,2026-07-06 23:07:07,3.0.10
bc6574da-9e71-402d-bafc-241b7cc557d8,Aichan naraa,mau kerja harus ada mpwp gliran mau daptr susah banget gak bantu banget udah bagus mau bayar pajak jga😌,1,1,2,Kesulitan Bayar/Lapor Pajak,2026-07-06 15:22:20,3.0.10
